t0_1,t0_19,r0
t0_1,t0_29,r0
t0_1,t0_37,r0
t0_1,t0_49,r0
t0_1,t0_8,r0
t0_10,t0_19,r0
t0_10,t0_27,t0_12
t0_10,t0_29,r0
t0_10,t0_37,r0
t0_10,t0_49,r0
t0_10,t0_8,r0
t0_11,t0_1,r0
t0_11,t0_10,r0
t0_11,t0_15,r0
t0_11,t0_24,r0
t0_11,t0_27,r0
t0_11,t0_4,r0
t0_11,t0_47,r0
t0_12,t0_2,r0
t0_12,t0_36,r0
t0_14,t0_1,r0
t0_14,t0_10,r0
t0_14,t0_15,r0
t0_14,t0_24,r0
t0_14,t0_27,r0
t0_14,t0_4,r0
t0_14,t0_47,r0
t0_15,t0_19,r0
t0_15,t0_27,t0_12
t0_15,t0_29,r0
t0_15,t0_37,r0
t0_15,t0_49,r0
t0_15,t0_8,r0
t0_16,t0_20,r0
t0_16,t0_30,r0
t0_16,t0_39,r0
t0_16,t0_45,r0
t0_16,t0_48,r0
t0_17,t0_1,r0
t0_17,t0_10,r0
t0_17,t0_11,t0_42
t0_17,t0_14,t0_42
t0_17,t0_15,r0
t0_17,t0_24,r0
t0_17,t0_4,r0
t0_17,t0_47,r0
t0_17,t0_9,r0
t0_20,t0_18,r0
t0_20,t0_43,r0
t0_20,t0_51,r0
t0_21,t0_12,r0
t0_21,t0_54,r0
t0_21,t0_6,r0
t0_23,t0_26,r0
t0_23,t0_39,r0
t0_23,t0_44,r0
t0_23,t0_56,r0
t0_23,t0_58,r0
t0_24,t0_13,r0
t0_24,t0_19,r0
t0_24,t0_29,r0
t0_24,t0_37,r0
t0_24,t0_8,r0
t0_25,t0_34,r0
t0_25,t0_59,r0
t0_26,t0_18,r0
t0_26,t0_22,r0
t0_26,t0_35,r0
t0_26,t0_43,r0
t0_26,t0_51,r0
t0_26,t0_57,r0
t0_27,t0_13,r0
t0_27,t0_19,r0
t0_27,t0_29,r0
t0_27,t0_37,r0
t0_27,t0_49,r0
t0_27,t0_8,r0
t0_27,t0_9,t0_12
t0_28,t0_20,r0
t0_28,t0_44,r0
t0_28,t0_45,r0
t0_28,t0_48,r0
